,,"US dollar/
Dollar 
SAM

","Japanese Yen/
Yen na Seapáine
",Bulgarian lev/Lev na Bulgáire,"Czech Koruna/
Koruna na Seice
","Danish krone/
Coróin na Danmhairge","Estonian Kroon/
Kroon na hEastóine","Israeli Shekel/
Shekel Iosraelach","Pound Sterling/
Punt Steirling","Hungarian Forint/
Forint na hUngáire","Lithuanian Litas/
Litas na Liotuáine
","Latvian lats/
Lats na Laitvia","Polish Zloty/
Zloty na Polainne","New Romanian Leu /
Leu nua na Rómáine","Swedish Krona/
Coróin na Sualainne","Slovak Koruna/
Koruna Slovakian","Swiss Franc/
Franc na hEilvéise","Icelandic Krona/
Coróin na hÍoslainne
","Norwegian Krone/
Coróin na hIorua","Croatian Kuna/
Kuna na Cróite","Russian Rouble/
Rouble na Rúise","New Turkish Lira/
Lira nua na Tuirce","Australian dollar/
Dollar na hAstráile","Brasilian Real/
Real na Brasaíle","Canadian Dollar/
Dollar Cheanada","Chinese Yuan Renminbi/
Yuan Renminbi na Síne","Hong Kong Dollar/
Dollar Hong Kong","Indonesian Rupiah/
Rupiah na hIndinéise","Indian Rupee/
Rupee na hIndia","South Korean Won/
Won na Cóiré Theas","Mexican Peso/
Peso na Meicsiceo","Malaysian Ringgit/
Ringgit na Malaeisia","New Zealand Dollar/
Dollar na Nua-Shéalainne","Philippine Peso/
Peso na nOileán Filipíneach","Singapore Dollar/
Dollar Singeapóir","Thai Baht/
Baht na Téalainne","South African Rand/
Rand na hAfraice Theas"
,,USD,JPY,BGN,CZK,DKK,EEK,ILS,GBP,HUF,LTL,LVL,PLN,RON,SEK,SKK,CHF,ISK,NOK,HRK,RUB,TRY,AUD,BRL,CAD,CNY,HKD,IDR,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR
,11 Jan 17,1.0503,122.14,1.9558,27.021,7.4338,,4.0482,0.86725,309.45,,,4.3703,4.4960,9.5695,,1.0721,N/A,9.0633,7.5562,63.3625,4.0747,1.4241,3.3786,1.3919,7.2826,8.1452,13999.45,71.8315,1260.59,22.9635,4.6964,1.5027,52.180,1.5112,37.375,14.4742
,12 Jan 17,1.0679,121.69,1.9558,27.021,7.4342,,4.0804,0.86843,307.15,,,4.3765,4.4913,9.5090,,1.0742,N/A,9.0625,7.5365,63.3302,4.0319,1.4205,3.3718,1.3944,7.3621,8.2816,14150.74,72.5955,1255.40,23.0700,4.7607,1.4980,52.939,1.5191,37.740,14.3476
,13 Jan 17,1.0661,121.91,1.9558,27.021,7.4350,,4.0671,0.87548,307.50,,,4.3739,4.4922,9.4875,,1.0728,N/A,9.0580,7.5270,63.2685,4.0387,1.4225,3.4097,1.4010,7.3564,8.2672,14212.71,72.6685,1251.45,23.0860,4.7569,1.4952,52.962,1.5206,37.740,14.4082
,16 Jan 17,1.0594,120.91,1.9558,27.021,7.4361,,4.0549,0.87808,307.38,,,4.3729,4.5023,9.4830,,1.0709,N/A,9.0558,7.5318,63.1692,4.0056,1.4172,3.4130,1.3927,7.3107,8.2159,14160.47,72.1670,1253.65,22.8780,4.7313,1.4916,52.926,1.5144,37.524,14.4212
,17 Jan 17,1.0684,121.10,1.9558,27.021,7.4364,,4.0812,0.86790,307.79,,,4.3693,4.5010,9.5033,,1.0712,N/A,9.0360,7.5325,63.2426,4.0560,1.4162,3.4305,1.3953,7.3235,8.2860,14240.74,72.6335,1248.81,23.0550,4.7677,1.4877,53.234,1.5168,37.731,14.3969
,18 Jan 17,1.0664,121.05,1.9558,27.021,7.4361,,4.0669,0.86833,307.92,,,4.3673,4.4928,9.5328,,1.0706,N/A,9.0330,7.5275,63.2480,4.0371,1.4128,3.4367,1.3986,7.2931,8.2716,14228.44,72.6365,1249.39,23.1335,4.7500,1.4838,53.222,1.5176,37.655,14.4632
,19 Jan 17,1.0668,122.23,1.9558,27.021,7.4360,,4.0669,0.86555,308.40,,,4.3728,4.4928,9.5478,,1.0729,N/A,9.0193,7.5210,63.5802,4.0747,1.4113,3.4223,1.4169,7.3241,8.2762,14266.32,72.6875,1255.90,23.4441,4.7462,1.4857,53.405,1.5216,37.759,14.5056
,20 Jan 17,1.0632,122.47,1.9558,27.021,7.4359,,4.0500,0.86595,309.09,,,4.3699,4.4940,9.5073,,1.0727,N/A,8.9990,7.5165,63.6075,4.0665,1.4115,3.3977,1.4217,7.3125,8.2487,14257.51,72.4825,1250.66,23.3700,4.7285,1.4891,53.216,1.5198,37.680,14.4850
,23 Jan 17,1.0715,121.72,1.9558,27.027,7.4362,,4.0714,0.86148,309.82,,,4.3719,4.4978,9.5113,,1.0727,N/A,8.9940,7.5058,63.7875,4.0574,1.4157,3.3873,1.4266,7.3436,8.3124,14319.05,73.0330,1251.67,22.9436,4.7553,1.4893,53.514,1.5229,37.824,14.5258
,24 Jan 17,1.0748,121.85,1.9558,27.021,7.4361,,4.0711,0.86350,310.27,,,4.3725,4.5015,9.4985,,1.0738,N/A,8.9578,7.5045,63.6559,4.0465,1.4198,3.4000,1.4267,7.3721,8.3377,14318.83,73.1890,1252.27,22.8856,4.7667,1.4852,53.510,1.5246,37.844,14.3643
,25 Jan 17,1.0743,121.79,1.9558,27.022,7.4366,,4.0662,0.85323,309.72,,,4.3641,4.4986,9.4833,,1.0732,N/A,8.9453,7.4978,63.6282,4.1082,1.4213,3.4057,1.4070,7.3935,8.3343,14319.89,73.1385,1251.45,23.0674,4.7608,1.4789,53.326,1.5238,37.848,14.2587
,26 Jan 17,1.0700,122.40,1.9558,27.021,7.4367,,4.0527,0.85143,310.98,,,4.3435,4.4943,9.4660,,1.0693,N/A,8.9215,7.4800,64.7269,4.1361,1.4205,3.4093,1.4048,7.3634,8.3006,14315.67,72.9570,1248.14,22.4760,4.7390,1.4793,53.373,1.5228,37.776,14.3102
,27 Jan 17,1.0681,123.01,1.9558,27.021,7.4369,,4.0453,0.85170,311.63,,,4.3400,4.5058,9.4528,,1.0689,N/A,8.9190,7.4818,64.1625,4.1416,1.4169,3.3834,1.4012,7.3654,8.2873,14276.89,72.7030,1253.96,22.5452,4.7333,1.4726,53.221,1.5250,37.683,14.4471
,30 Jan 17,1.0630,121.76,1.9558,27.022,7.4375,,4.0228,0.84935,310.80,,,4.3310,4.5008,9.4390,,1.0669,N/A,8.8758,7.4773,63.7792,4.0561,1.4109,3.3318,1.3983,7.3103,8.2476,14173.38,72.2315,1252.27,22.0850,4.7094,1.4668,52.899,1.5177,37.492,14.4510
,31 Jan 17,1.0755,121.94,1.9558,27.021,7.4373,,4.0575,0.86105,310.64,,,4.3239,4.5030,9.4505,,1.0668,N/A,8.8880,7.4790,64.4302,4.0632,1.4198,3.3535,1.4056,7.3970,8.3436,14363.56,72.8005,1244.76,22.2855,4.7608,1.4709,53.489,1.5201,37.793,14.4440
,1 Feb 17,1.0790,122.25,1.9558,27.021,7.4370,,4.0662,0.85418,309.78,,,4.3186,4.5478,9.4253,,1.0680,N/A,8.8830,7.4645,64.8674,4.0581,1.4225,3.3918,1.4097,7.4270,8.3720,14424.00,72.7540,1247.86,22.3405,4.7782,1.4817,53.713,1.5240,37.894,14.4837
,2 Feb 17,1.0808,121.40,1.9558,27.022,7.4378,,4.0651,0.86068,308.85,,,4.3071,4.5328,9.4183,,1.0690,N/A,8.8575,7.4495,64.3505,4.0387,1.4060,3.3659,1.4050,7.4377,8.3863,14431.38,72.6640,1234.22,22.2623,4.7815,1.4763,53.705,1.5232,37.893,14.4742
,3 Feb 17,1.0741,121.49,1.9558,27.021,7.4376,,4.0323,0.86013,309.46,,,4.2972,4.5158,9.4420,,1.0695,N/A,8.8568,7.4331,63.6106,4.0118,1.4057,3.3641,1.4023,7.3776,8.3343,14333.86,72.3095,1232.25,22.0157,4.7561,1.4781,53.461,1.5186,37.653,14.4212
,6 Feb 17,1.0712,120.28,1.9558,27.021,7.4372,,4.0146,0.85950,309.16,,,4.2767,4.5085,9.4605,,1.0670,N/A,8.8460,7.4490,63.0404,3.9404,1.4006,3.3408,1.3987,7.3500,8.3105,14241.60,71.9450,1217.20,21.8217,4.7422,1.4672,53.180,1.5106,37.513,14.2426
,7 Feb 17,1.0675,119.94,1.9558,27.021,7.4353,,4.0085,0.86330,309.71,,,4.3035,4.4899,9.4810,,1.0658,N/A,8.8838,7.4480,63.4442,3.9785,1.4014,3.3378,1.4072,7.3487,8.2823,14228.17,71.9730,1224.51,22.0334,4.7354,1.4631,53.108,1.5142,37.416,14.3443
,8 Feb 17,1.0665,119.39,1.9558,27.021,7.4342,,4.0021,0.85315,309.32,,,4.3118,4.4890,9.4523,,1.0637,N/A,8.8835,7.4573,63.1825,3.9709,1.3960,3.3330,1.4020,7.3295,8.2745,14211.11,71.6095,1220.64,21.9102,4.7342,1.4600,53.233,1.5112,37.359,14.3162
,9 Feb 17,1.0692,120.04,1.9558,27.021,7.4347,,4.0077,0.85090,308.75,,,4.3096,4.4945,9.4835,,1.0672,N/A,8.8860,7.4695,62.8730,3.9486,1.3965,3.3329,1.4016,7.3413,8.2952,14172.25,71.3600,1223.18,21.8579,4.7462,1.4803,53.369,1.5125,37.433,14.3380
,10 Feb 17,1.0629,120.65,1.9558,27.021,7.4344,,3.9840,0.85290,308.45,,,4.2953,4.5002,9.4873,,1.0669,N/A,8.9065,7.4595,62.2757,3.9173,1.3905,3.3070,1.3965,7.3120,8.2473,14134.44,71.1435,1222.56,21.5519,4.7241,1.4798,53.096,1.5112,37.302,14.1866
,13 Feb 17,1.0629,120.90,1.9558,27.021,7.4359,,3.9885,0.84890,308.02,,,4.3137,4.5022,9.4780,,1.0673,N/A,8.9018,7.4485,61.6700,3.9177,1.3867,3.3159,1.3917,7.3062,8.2471,14158.89,71.1880,1223.31,21.6261,4.7283,1.4808,53.059,1.5113,37.276,14.1809
,14 Feb 17,1.0623,120.43,1.9558,27.021,7.4359,,3.9783,0.85098,308.13,,,4.3012,4.5051,9.4653,,1.0659,N/A,8.8790,7.4537,60.9409,3.8780,1.3813,3.2881,1.3842,7.2902,8.2422,14138.08,70.9755,1207.63,21.4981,4.7263,1.4780,52.952,1.5044,37.154,13.9140
,15 Feb 17,1.0555,120.85,1.9558,27.021,7.4345,,3.9537,0.84998,308.42,,,4.3015,4.5143,9.4508,,1.0652,N/A,8.8523,7.4568,60.9795,3.8662,1.3761,3.2505,1.3809,7.2521,8.1923,14060.98,70.6005,1205.35,21.4777,4.6959,1.4705,52.719,1.5012,36.974,13.7701
,16 Feb 17,1.0652,120.95,1.9558,27.021,7.4341,,3.9583,0.85110,308.24,,,4.3176,4.5223,9.4748,,1.0647,N/A,8.8690,7.4495,60.9025,3.9036,1.3808,3.2402,1.3865,7.3028,8.2675,14188.46,71.3650,1213.74,21.5975,4.7439,1.4745,53.176,1.5104,37.282,13.7837
,17 Feb 17,1.0650,120.08,1.9558,27.021,7.4334,,3.9470,0.85720,308.32,,,4.3305,4.5223,9.4478,,1.0637,N/A,8.8645,7.4410,61.9668,3.9117,1.3892,3.2928,1.3929,7.3134,8.2659,14199.11,71.4615,1224.76,21.8050,4.7424,1.4809,53.309,1.5086,37.270,13.9357
,20 Feb 17,1.0616,120.11,1.9558,27.021,7.4333,,3.9362,0.85145,308.26,,,4.3246,4.5218,9.4785,,1.0650,N/A,8.8568,7.4485,61.6215,3.8481,1.3835,3.2884,1.3918,7.3011,8.2392,14181.65,71.0625,1218.35,21.7273,4.7335,1.4772,53.462,1.5057,37.177,13.9176
,21 Feb 17,1.0537,119.77,1.9558,27.021,7.4333,,3.9011,0.84860,306.90,,,4.3064,4.5151,9.4690,,1.0639,N/A,8.8138,7.4520,60.8390,3.8213,1.3762,3.2623,1.3840,7.2545,8.1783,14090.60,70.5300,1208.70,21.5277,4.6973,1.4757,52.990,1.4989,36.916,13.8666
,22 Feb 17,1.0513,118.79,1.9558,27.021,7.4332,,3.8981,0.84450,307.53,,,4.2987,4.5208,9.4700,,1.0642,N/A,8.8153,7.4480,60.7803,3.7871,1.3689,3.2422,1.3844,7.2311,8.1585,14041.37,70.4230,1201.28,21.0585,4.6821,1.4672,52.868,1.4905,36.806,13.7773
,23 Feb 17,1.0573,119.30,1.9558,27.021,7.4335,,3.9105,0.84628,308.21,,,4.3080,4.5200,9.4975,,1.0663,N/A,8.8070,7.4320,61.1931,3.7757,1.3691,3.2412,1.3868,7.2693,8.2037,14091.10,70.5465,1200.29,21.0150,4.7039,1.4637,53.048,1.4926,36.990,13.6180
,24 Feb 17,1.0609,119.04,1.9558,27.021,7.4344,,3.9241,0.84503,308.59,,,4.3107,4.5170,9.5188,,1.0649,N/A,8.8365,7.4275,61.6435,3.7991,1.3816,3.2770,1.3907,7.2873,8.2341,14128.33,70.6645,1198.21,20.8929,4.7109,1.4711,53.255,1.4892,37.006,13.7016
,27 Feb 17,1.0587,118.87,1.9558,27.021,7.4331,,3.8890,0.85280,307.69,,,4.3148,4.5129,9.5548,,1.0664,N/A,8.8383,7.4280,61.1026,3.8100,1.3796,3.2916,1.3889,7.2756,8.2164,14147.30,70.6120,1200.05,20.9539,4.6990,1.4701,53.193,1.4878,36.901,13.7155
,28 Feb 17,1.0597,118.83,1.9558,27.021,7.4332,,3.8782,0.85305,308.25,,,4.3148,4.5202,9.5675,,1.0648,N/A,8.8693,7.4365,61.7550,3.8391,1.3807,3.2810,1.3984,7.2780,8.2252,14132.16,70.6290,1194.24,21.0800,4.7051,1.4707,53.258,1.4831,36.952,13.7910
,1 Mar 17,1.0533,119.84,1.9558,27.021,7.4333,,3.8274,0.85550,307.95,,,4.2958,4.5207,9.5268,,1.0647,N/A,8.8618,7.4205,61.4190,3.8438,1.3752,3.2768,1.4044,7.2472,8.1773,14074.19,70.3960,1204.93,21.1100,4.6850,1.4793,53.015,1.4842,36.871,13.7793
,2 Mar 17,1.0514,120.24,1.9558,27.021,7.4336,,3.8810,0.85560,308.33,,,4.2941,4.5220,9.5195,,1.0651,N/A,8.8830,7.4193,61.6805,3.8972,1.3840,3.2687,1.4069,7.2399,8.1622,14045.13,70.2000,1204.29,20.9495,4.6777,1.4823,52.997,1.4840,36.804,13.7799
,3 Mar 17,1.0565,120.83,1.9558,27.021,7.4337,,3.9133,0.86355,309.68,,,4.3007,4.5328,9.5375,,1.0675,N/A,8.9303,7.4163,62.0628,3.9388,1.3956,3.3080,1.4161,7.2872,8.2031,14138.61,70.5920,1218.65,20.7635,4.7062,1.5011,53.197,1.4933,37.041,13.8220
,6 Mar 17,1.0592,120.55,1.9558,27.021,7.4337,,3.8950,0.86300,309.55,,,4.3091,4.5290,9.5335,,1.0694,N/A,8.9673,7.4090,61.5602,3.9328,1.3937,3.2896,1.4183,7.3050,8.2235,14138.32,70.5955,1222.76,20.6859,4.7113,1.5079,53.251,1.4936,37.104,13.7644
,7 Mar 17,1.0576,120.61,1.9558,27.021,7.4340,,3.8885,0.86710,309.52,,,4.3075,4.5384,9.5218,,1.0730,N/A,8.9443,7.4090,61.3560,3.8894,1.3920,3.2974,1.4191,7.2976,8.2120,14115.79,70.4700,1215.71,20.6124,4.7038,1.5153,53.237,1.4920,37.111,13.7038
,8 Mar 17,1.0556,120.65,1.9558,27.021,7.4335,,3.8879,0.86753,310.70,,,4.3130,4.5503,9.5223,,1.0702,N/A,8.9513,7.4213,61.7573,3.9434,1.3968,3.3151,1.4193,7.2953,8.1982,14144.80,70.4960,1216.36,20.7130,4.7082,1.5219,53.198,1.4947,37.236,13.7908
,9 Mar 17,1.0551,120.95,1.9558,27.021,7.4337,,3.8938,0.86653,311.14,,,4.3171,4.5499,9.5525,,1.0709,N/A,9.0458,7.4312,62.6102,3.9603,1.4044,3.3436,1.4272,7.2912,8.1949,14135.85,70.3995,1222.35,20.8770,4.7002,1.5277,53.117,1.4986,37.287,13.9979
,10 Mar 17,1.0606,122.42,1.9558,27.021,7.4331,,3.9086,0.87250,312.27,,,4.3259,4.5490,9.5778,,1.0743,N/A,9.1405,7.4190,62.6964,3.9801,1.4095,3.3694,1.4322,7.3336,8.2367,14185.77,70.6725,1226.28,20.9681,4.7231,1.5348,53.281,1.5041,37.556,14.0681
,13 Mar 17,1.0663,122.35,1.9558,27.021,7.4340,,3.9009,0.87258,312.43,,,4.3376,4.5560,9.5645,,1.0749,N/A,9.1298,7.4333,62.9550,3.9952,1.4078,3.3609,1.4350,7.3717,8.2804,14241.50,70.5475,1222.96,20.9398,4.7450,1.5385,53.681,1.5073,37.672,14.0101
,14 Mar 17,1.0631,122.13,1.9558,27.021,7.4338,,3.8947,0.87563,311.32,,,4.3221,4.5435,9.4968,,1.0726,N/A,9.1510,7.4260,63.1241,3.9776,1.4073,3.3591,1.4338,7.3511,8.2598,14213.91,69.9170,1222.47,20.8468,4.7303,1.5389,53.481,1.5039,37.554,13.9904
,15 Mar 17,1.0622,121.77,1.9558,27.021,7.4339,,3.8850,0.87073,310.83,,,4.3206,4.5423,9.5603,,1.0715,N/A,9.1353,7.4298,62.7435,3.9497,1.3992,3.3553,1.4291,7.3438,8.2527,14191.33,69.7475,1217.28,20.8010,4.7258,1.5277,53.390,1.5001,37.453,13.8649
,16 Mar 17,1.0726,121.55,1.9558,27.021,7.4343,,3.8918,0.86810,310.04,,,4.2974,4.5508,9.4838,,1.0695,N/A,9.1588,7.4220,62.1796,3.9030,1.3945,3.3244,1.4277,7.4004,8.3275,14283.81,70.1205,1209.16,20.4770,4.7618,1.5351,53.709,1.5035,37.536,13.6270
,17 Mar 17,1.0737,121.49,1.9558,27.021,7.4343,,3.8979,0.86868,308.55,,,4.2982,4.5633,9.4610,,1.0698,N/A,9.1023,7.4133,61.9515,3.8896,1.3940,3.3342,1.4296,7.4141,8.3352,14328.53,70.2510,1213.19,20.5710,4.7624,1.5318,53.867,1.5055,37.418,13.7004
,20 Mar 17,1.0752,121.19,1.9558,27.021,7.4346,,3.9044,0.86793,308.64,,,4.2820,4.5605,9.5078,,1.0720,N/A,9.1278,7.4055,61.8563,3.9067,1.3922,3.3416,1.4359,7.4268,8.3497,14314.68,70.2805,1199.56,20.5514,4.7594,1.5271,53.826,1.5030,37.336,13.6292
,21 Mar 17,1.0802,121.58,1.9558,27.021,7.4353,,3.9046,0.86753,308.29,,,4.2628,4.5646,9.4923,,1.0750,N/A,9.1253,7.4078,61.8110,3.8972,1.3969,3.3175,1.4349,7.4418,8.3886,14387.18,70.4930,1208.01,20.5078,4.7804,1.5309,54.075,1.5088,37.434,13.5822
,22 Mar 17,1.0807,120.07,1.9558,27.021,7.4372,,3.9501,0.86790,309.16,,,4.2816,4.5590,9.5105,,1.0714,N/A,9.1463,7.4088,62.6509,3.9156,1.4086,3.3484,1.4458,7.4433,8.3949,14404.65,70.6995,1210.08,20.6900,4.7848,1.5353,54.272,1.5108,37.425,13.6114
,23 Mar 17,1.0786,119.36,1.9558,27.021,7.4356,,3.9322,0.86273,309.22,,,4.2685,4.5555,9.5095,,1.0700,N/A,9.1478,7.4178,62.2001,3.9038,1.4132,3.3608,1.4387,7.4268,8.3780,14363.72,70.6095,1207.38,20.5962,4.7771,1.5303,54.309,1.5086,37.320,13.4933
,24 Mar 17,1.0805,120.09,1.9558,27.021,7.4378,,3.9347,0.86600,309.81,,,4.2695,4.5527,9.5373,,1.0718,N/A,9.1793,7.4198,61.6859,3.9176,1.4182,3.3845,1.4448,7.4406,8.3933,14399.28,70.6520,1210.37,20.4282,4.7800,1.5401,54.254,1.5126,37.353,13.4816
,27 Mar 17,1.0889,119.93,1.9558,27.021,7.4404,,3.9363,0.86403,310.21,,,4.2641,4.5491,9.5503,,1.0713,N/A,9.2188,7.4395,61.8655,3.9203,1.4261,3.3980,1.4536,7.4895,8.4584,14486.06,70.8170,1207.95,20.4918,4.8055,1.5416,54.516,1.5149,37.404,13.7610
,28 Mar 17,1.0859,119.84,1.9558,27.021,7.4406,,3.9250,0.86455,309.19,,,4.2470,4.5529,9.5318,,1.0693,N/A,9.2380,7.4325,61.8842,3.9353,1.4281,3.3947,1.4546,7.4767,8.4346,14441.86,70.6435,1209.11,20.4927,4.7951,1.5454,54.487,1.5137,37.371,14.0518
,29 Mar 17,1.0748,119.17,1.9558,27.021,7.4412,,3.8972,0.86385,309.62,,,4.2389,4.5563,9.5505,,1.0712,N/A,9.1908,7.4360,61.2237,3.9246,1.4060,3.3666,1.4380,7.4063,8.3503,14305.20,69.7590,1195.89,20.3522,4.7495,1.5321,54.033,1.5006,37.011,14.1215
,30 Mar 17,1.0737,119.39,1.9558,27.022,7.4386,,3.8914,0.86180,309.35,,,4.2233,4.5448,9.5623,,1.0698,N/A,9.1695,7.4480,60.3375,3.9119,1.3988,3.3555,1.4320,7.3973,8.3450,14297.39,69.6910,1199.08,20.1228,4.7463,1.5304,53.865,1.4977,36.951,13.8165
,31 Mar 17,1.0691,119.55,1.9558,27.030,7.4379,,3.8853,0.85553,307.62,,,4.2265,4.5525,9.5322,,1.0696,N/A,9.1683,7.4465,60.3130,3.8894,1.3982,3.3800,1.4265,7.3642,8.3074,14237.94,69.3965,1194.54,20.0175,4.7313,1.5309,53.658,1.4940,36.724,14.2404
,3 Apr 17,1.0661,118.64,1.9558,27.044,7.4374,,3.8690,0.85260,308.68,,,4.2279,4.5495,9.5145,,1.0682,N/A,9.1468,7.4305,60.0802,3.8831,1.4012,3.3314,1.4229,7.3423,8.2858,14203.12,69.2805,1191.09,19.9794,4.7202,1.5226,53.456,1.4899,36.658,14.4506
,4 Apr 17,1.0651,117.55,1.9558,27.054,7.4375,,3.8826,0.85623,309.38,,,4.2571,4.5442,9.6100,,1.0673,N/A,9.1790,7.4370,60.1167,3.8921,1.4109,3.3395,1.4320,7.3371,8.2765,14195.65,69.4250,1198.13,20.1312,4.7200,1.5260,53.482,1.4903,36.687,14.6579
,5 Apr 17,1.0678,118.49,1.9558,27.058,7.4354,,3.9026,0.85510,309.91,,,4.2315,4.5397,9.5748,,1.0708,N/A,9.1665,7.4578,59.6596,3.9404,1.4085,3.2974,1.4291,7.3638,8.2957,14227.37,69.2930,1202.72,20.0177,4.7314,1.5319,53.532,1.4948,36.860,14.6327
,6 Apr 17,1.0666,118.23,1.9558,26.736,7.4350,,3.8895,0.85590,309.76,,,4.2271,4.5236,9.5895,,1.0702,N/A,9.1688,7.4600,60.0558,3.9550,1.4103,3.3232,1.4322,7.3577,8.2869,14207.11,68.8150,1206.44,20.0393,4.7320,1.5271,53.489,1.4940,36.904,14.7229
,7 Apr 17,1.0630,117.64,1.9558,26.563,7.4363,,3.8784,0.85573,310.36,,,4.2249,4.5178,9.5963,,1.0695,N/A,9.1583,7.4490,60.4918,3.9726,1.4123,3.3349,1.4256,7.3318,8.2596,14161.42,68.3775,1206.35,19.9474,4.7144,1.5249,53.019,1.4902,36.790,14.6840
,10 Apr 17,1.0578,117.72,1.9558,26.528,7.4363,,3.8735,0.85335,311.35,,,4.2296,4.5118,9.6098,,1.0682,N/A,9.1443,7.4350,60.5034,3.9494,1.4120,3.3175,1.4155,7.3022,8.2189,14047.58,68.2915,1208.18,19.7586,4.6919,1.5239,52.492,1.4880,36.653,14.6918
,11 Apr 17,1.0616,117.36,1.9558,26.658,7.4372,,3.8817,0.85330,311.40,,,4.2414,4.5104,9.5915,,1.0696,N/A,9.1245,7.4240,60.4528,3.9392,1.4137,3.3241,1.4139,7.3256,8.2499,14099.64,68.4550,1214.50,19.8434,4.7066,1.5285,52.631,1.4904,36.726,14.6891
,12 Apr 17,1.0605,116.22,1.9558,26.697,7.4369,,3.8762,0.84840,311.97,,,4.2485,4.5205,9.5553,,1.0678,N/A,9.1035,7.4385,60.5067,3.8965,1.4163,3.3330,1.4114,7.3090,8.2416,14087.68,68.5895,1209.26,19.9384,4.6954,1.5320,52.446,1.4869,36.555,14.5185
,13 Apr 17,1.0630,116.01,1.9558,26.704,7.4376,,3.8841,0.84763,312.55,,,4.2450,4.5189,9.5820,,1.0686,N/A,9.1033,7.4255,59.9350,3.8991,1.4027,3.3277,1.4069,7.3227,8.2652,14091.66,68.4915,1202.93,19.7661,4.6905,1.5178,52.584,1.4845,36.503,14.3805
,18 Apr 17,1.0682,116.26,1.9558,26.759,7.4381,,3.9152,0.84375,312.58,,,4.2363,4.5180,9.5908,,1.0686,N/A,9.1093,7.4370,59.8860,3.9423,1.4155,3.3194,1.4273,7.3524,8.3040,14203.32,69.0080,1221.05,19.8272,4.7113,1.5186,53.064,1.4937,36.693,14.3001
,19 Apr 17,1.0725,116.91,1.9558,26.794,7.4387,,3.9313,0.83430,313.05,,,4.2358,4.5341,9.6195,,1.0690,N/A,9.1528,7.4468,60.2656,3.9292,1.4255,3.3368,1.4415,7.3852,8.3397,14293.20,69.2430,1222.42,20.0190,4.7190,1.5283,53.339,1.4987,36.883,14.2610
,20 Apr 17,1.0745,117.16,1.9558,26.907,7.4381,,3.9382,0.83920,313.50,,,4.2588,4.5405,9.6203,,1.0701,N/A,9.2120,7.4550,60.4465,3.9067,1.4278,3.3770,1.4494,7.3965,8.3550,14316.10,69.4375,1220.93,20.1980,4.7257,1.5301,53.422,1.5009,36.931,14.1282
,21 Apr 17,1.0698,116.72,1.9558,26.933,7.4369,,3.9366,0.83720,314.18,,,4.2727,4.5437,9.6390,,1.0680,N/A,9.2478,7.4575,60.2565,3.9001,1.4219,3.3683,1.4413,7.3666,8.3190,14249.74,69.1185,1215.07,20.1459,4.7061,1.5277,53.306,1.4948,36.790,14.0587
,24 Apr 17,1.0848,119.67,1.9558,26.793,7.4390,,3.9620,0.84830,311.47,,,4.2420,4.5285,9.5825,,1.0806,N/A,9.2450,7.4623,60.6905,3.8969,1.4330,3.3903,1.4570,7.4691,8.4376,14405.06,69.9130,1224.22,20.1642,4.7720,1.5442,53.995,1.5110,37.274,14.0639
,25 Apr 17,1.0891,120.34,1.9558,26.771,7.4396,,3.9690,0.84928,311.70,,,4.2273,4.5255,9.6010,,1.0826,N/A,9.3158,7.4645,61.0111,3.9127,1.4454,3.4329,1.4790,7.4976,8.4756,14460.53,70.0130,1228.28,20.5205,4.7550,1.5636,54.078,1.5170,37.487,14.2071
,26 Apr 17,1.0893,121.35,1.9558,26.947,7.4395,,3.9612,0.84903,311.93,,,4.2241,4.5338,9.5605,,1.0835,N/A,9.3485,7.4725,61.7554,3.8991,1.4559,3.4521,1.4792,7.5061,8.4757,14482.59,69.8490,1231.89,20.6261,4.7357,1.5806,54.278,1.5206,37.548,14.4178
,27 Apr 17,1.0881,121.27,1.9558,26.937,7.4387,,3.9650,0.84420,312.03,,,4.2216,4.5288,9.6244,,1.0820,N/A,9.3367,7.4880,62.0780,3.8797,1.4576,3.4387,1.4783,7.5024,8.4672,14486.96,69.7660,1234.33,20.6615,4.7311,1.5832,54.564,1.5205,37.670,14.5361
,28 Apr 17,1.0930,121.76,1.9558,26.922,7.4383,,3.9588,0.84473,312.38,,,4.2224,4.5348,9.6318,,1.0831,N/A,9.3243,7.4640,62.1061,3.8756,1.4629,3.4718,1.4914,7.5367,8.5004,14568.60,70.2615,1243.69,20.7500,4.7447,1.5897,54.763,1.5258,37.785,14.4899
,2 May 17,1.0915,122.55,1.9558,26.893,7.4370,,3.9397,0.84520,312.20,,,4.2088,4.5495,9.6290,,1.0852,N/A,9.3780,7.4570,62.2300,3.8621,1.4518,3.4585,1.4928,7.5263,8.4937,14529.50,70.1025,1233.65,20.4568,4.7240,1.5782,54.577,1.5222,37.657,14.4886
,3 May 17,1.0919,122.47,1.9558,26.871,7.4372,,3.9495,0.84440,312.15,,,4.1913,4.5485,9.6273,,1.0812,N/A,9.3878,7.4493,62.5464,3.8603,1.4615,3.4424,1.4990,7.5267,8.4967,14528.28,70.0540,1235.52,20.5365,4.7159,1.5768,54.583,1.5229,37.654,14.5730
