,,"US dollar/
Dollar 
SAM

","Japanese Yen/
Yen na Seapáine
",Bulgarian lev/Lev na Bulgáire,"Czech Koruna/
Koruna na Seice
","Danish krone/
Coróin na Danmhairge","Estonian Kroon/
Kroon na hEastóine","Israeli Shekel/
Shekel Iosraelach","Pound Sterling/
Punt Steirling","Hungarian Forint/
Forint na hUngáire","Lithuanian Litas/
Litas na Liotuáine
","Latvian lats/
Lats na Laitvia","Polish Zloty/
Zloty na Polainne","New Romanian Leu /
Leu nua na Rómáine","Swedish Krona/
Coróin na Sualainne","Slovak Koruna/
Koruna Slovakian","Swiss Franc/
Franc na hEilvéise","Icelandic Krona/
Coróin na hÍoslainne
","Norwegian Krone/
Coróin na hIorua","Croatian Kuna/
Kuna na Cróite","Russian Rouble/
Rouble na Rúise","New Turkish Lira/
Lira nua na Tuirce","Australian dollar/
Dollar na hAstráile","Brasilian Real/
Real na Brasaíle","Canadian Dollar/
Dollar Cheanada","Chinese Yuan Renminbi/
Yuan Renminbi na Síne","Hong Kong Dollar/
Dollar Hong Kong","Indonesian Rupiah/
Rupiah na hIndinéise","Indian Rupee/
Rupee na hIndia","South Korean Won/
Won na Cóiré Theas","Mexican Peso/
Peso na Meicsiceo","Malaysian Ringgit/
Ringgit na Malaeisia","New Zealand Dollar/
Dollar na Nua-Shéalainne","Philippine Peso/
Peso na nOileán Filipíneach","Singapore Dollar/
Dollar Singeapóir","Thai Baht/
Baht na Téalainne","South African Rand/
Rand na hAfraice Theas"
,,USD,JPY,BGN,CZK,DKK,EEK,ILS,GBP,HUF,LTL,LVL,PLN,RON,SEK,SKK,CHF,ISK,NOK,HRK,RUB,TRY,AUD,BRL,CAD,CNY,HKD,IDR,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR
,21 Jan 16,1.0893,127.43,1.9558,27.064,7.4630,,4.3277,0.77182,314.42,,,4.4943,4.5316,9.3527,,1.0949,N/A,9.7033,7.6710,91.7660,3.3098,1.5755,4.5230,1.5750,7.1666,8.5181,15149.99,74.0684,1321.64,20.2120,4.7818,1.6940,52.166,1.5670,39.503,18.1453
,22 Jan 16,1.0808,127.77,1.9558,27.026,7.4621,,4.2945,0.75459,312.20,,,4.4587,4.5273,9.2738,,1.0950,N/A,9.4685,7.6690,85.8930,3.2572,1.5380,4.4550,1.5316,7.1104,8.4204,14952.60,73.0945,1292.83,20.0160,4.6308,1.6606,51.580,1.5421,38.921,17.8143
,25 Jan 16,1.0815,128.07,1.9558,27.021,7.4624,,4.3031,0.75890,312.70,,,4.4690,4.5256,9.2758,,1.0981,N/A,9.4585,7.6695,86.0410,3.2660,1.5496,4.4276,1.5351,7.1156,8.4304,14985.15,73.2973,1293.53,19.9970,4.6208,1.6728,51.890,1.5469,38.869,17.8580
,26 Jan 16,1.0837,128.22,1.9558,27.021,7.4622,,4.3084,0.76095,312.73,,,4.4942,4.5348,9.2644,,1.1008,N/A,9.4858,7.6658,86.7725,3.2699,1.5550,4.4465,1.5411,7.1314,8.4498,15004.76,73.5797,1303.82,20.1259,4.6335,1.6777,52.051,1.5498,38.865,17.8881
,27 Jan 16,1.0888,128.91,1.9558,27.025,7.4625,,4.3252,0.75965,313.85,,,4.4710,4.5388,9.2591,,1.1068,N/A,9.4508,7.6685,85.2106,3.2560,1.5461,4.3963,1.5331,7.1621,8.4861,15090.93,74.0928,1308.94,20.0040,4.6203,1.6739,52.162,1.5542,38.963,17.7803
,28 Jan 16,1.0903,129.62,1.9558,27.021,7.4626,,4.3130,0.76228,313.37,,,4.4534,4.5400,9.3046,,1.1053,N/A,9.4465,7.6593,83.5018,3.2485,1.5419,4.4753,1.5357,7.1705,8.4955,15116.22,74.3857,1316.36,19.9966,4.5772,1.6874,52.116,1.5556,39.067,17.7785
,29 Jan 16,1.0920,132.25,1.9558,27.026,7.4628,,4.3084,0.76410,312.03,,,4.4398,4.5352,9.3483,,1.1144,N/A,9.4845,7.6600,82.8472,3.2365,1.5388,4.4294,1.5363,7.1810,8.5101,14967.64,74.1039,1318.60,20.0054,4.5296,1.6788,52.082,1.5550,38.973,17.4927
,1 Feb 16,1.0884,131.99,1.9558,27.021,7.4625,,4.3000,0.76100,311.86,,,4.3952,4.5246,9.2835,,1.1096,N/A,9.4160,7.6605,82.9655,3.2269,1.5377,4.3511,1.5253,7.1605,8.4688,14846.05,73.9100,1310.43,19.8811,4.5345,1.6820,51.932,1.5500,38.760,17.5019
,2 Feb 16,1.0919,131.84,1.9558,27.026,7.4628,,4.3161,0.75860,311.65,,,4.4055,4.5140,9.3437,,1.1147,N/A,9.5223,7.6675,86.3711,3.2237,1.5475,4.3565,1.5292,7.1847,8.4996,14945.11,74.2325,1322.58,20.0265,4.6020,1.6839,52.256,1.5586,39.035,17.5788
,3 Feb 16,1.0933,130.58,1.9558,27.025,7.4623,,4.3320,0.75330,310.55,,,4.3982,4.5093,9.3580,,1.1115,N/A,9.5138,7.6665,85.9910,3.2138,1.5484,4.3280,1.5234,7.1916,8.5266,15038.70,74.3900,1329.87,20.1098,4.6121,1.6560,52.370,1.5631,39.199,17.6950
